"FECHA,""Tipo de cambio - TC Interbancario (S/ por US$) - Venta"""
29Ene01,3.5383
30Ene01,3.5357
31Ene01,3.5331
01Feb01,3.5303
02Feb01,3.5293
05Feb01,3.532
06Feb01,3.5296
07Feb01,3.5323
08Feb01,3.5322
09Feb01,3.5301
12Feb01,3.5316
13Feb01,3.5321
14Feb01,3.531
15Feb01,3.5293
16Feb01,3.5257
19Feb01,3.5248
20Feb01,3.5262
21Feb01,3.5281
22Feb01,3.5307
23Feb01,3.5315
26Feb01,3.5264
27Feb01,3.5257
28Feb01,3.5228
01Mar01,3.5203
02Mar01,3.5197
05Mar01,3.5175
06Mar01,3.5161
07Mar01,3.5156
08Mar01,3.5175
09Mar01,3.5183
12Mar01,3.5179
13Mar01,3.5177
14Mar01,3.5186
15Mar01,3.519
16Mar01,3.5219
19Mar01,3.522
20Mar01,3.5221
21Mar01,3.5234
22Mar01,3.525
23Mar01,3.5258
26Mar01,3.5213
27Mar01,3.521
28Mar01,3.5217
29Mar01,3.5221
30Mar01,3.5245
02Abr01,3.5244
03Abr01,3.5253
04Abr01,3.5249
05Abr01,3.5273
06Abr01,3.532
09Abr01,3.5445
10Abr01,3.5455
11Abr01,3.5437
12Abr01,n.d.
13Abr01,n.d.
16Abr01,3.5463
17Abr01,3.5623
18Abr01,3.575
19Abr01,3.5803
20Abr01,3.5827
23Abr01,3.5883
24Abr01,3.5923
25Abr01,3.5952
26Abr01,3.5929
27Abr01,3.5923
30Abr01,3.5845
01May01,n.d.
02May01,3.5893
03May01,3.598
04May01,3.599
07May01,3.5943
08May01,3.6057
09May01,3.6111
10May01,3.609
11May01,3.6035
14May01,3.6043
15May01,3.6009
16May01,3.601
17May01,3.5996
18May01,3.6015
21May01,3.5958
22May01,3.5876
23May01,3.5888
24May01,3.59
25May01,3.5929
28May01,3.6115
29May01,3.6164
30May01,3.6175
31May01,3.6278
01Jun01,3.6364
04Jun01,3.5683
05Jun01,3.5538
06Jun01,3.5518
07Jun01,3.5298
08Jun01,3.5222
11Jun01,3.519
12Jun01,3.5216
13Jun01,3.5141
14Jun01,3.5104
15Jun01,3.5147
18Jun01,3.5268
19Jun01,3.5232
20Jun01,3.5203
21Jun01,3.5189
22Jun01,3.5199
25Jun01,3.5215
26Jun01,3.5229
27Jun01,3.519
28Jun01,3.5115
29Jun01,n.d.
02Jul01,3.5128
03Jul01,3.5137
04Jul01,3.5188
05Jul01,3.5186
06Jul01,3.5204
09Jul01,3.5108
10Jul01,3.5104
11Jul01,3.5123
12Jul01,3.5163
13Jul01,3.5081
16Jul01,3.508
17Jul01,3.5025
18Jul01,3.4961
19Jul01,3.495
20Jul01,3.4938
23Jul01,3.4934
24Jul01,3.4965
25Jul01,3.4934
26Jul01,3.488
27Jul01,3.4866
30Jul01,n.d.
31Jul01,3.4878
01Ago01,3.4962
02Ago01,3.4988
03Ago01,3.499
06Ago01,3.5007
07Ago01,3.5013
08Ago01,3.4934
09Ago01,3.4914
10Ago01,3.492
13Ago01,3.4909
14Ago01,3.4924
15Ago01,3.4918
16Ago01,3.4905
17Ago01,3.4913
20Ago01,3.4957
21Ago01,3.4969
22Ago01,3.4897
23Ago01,3.4895
24Ago01,3.4899
27Ago01,3.4898
28Ago01,3.4861
29Ago01,3.4832
30Ago01,n.d.
31Ago01,3.4815
03Set01,3.4788
04Set01,3.481
05Set01,3.4839
06Set01,3.4837
07Set01,3.4833
10Set01,3.482
11Set01,3.4954
12Set01,3.4929
13Set01,3.4946
14Set01,3.504
17Set01,3.5035
18Set01,3.5007
19Set01,3.5008
20Set01,3.5009
21Set01,3.5018
24Set01,3.4925
25Set01,3.4859
26Set01,3.4831
27Set01,3.4836
28Set01,3.482
01Oct01,3.48
02Oct01,3.4808
03Oct01,3.4783
04Oct01,3.4768
05Oct01,3.4771
08Oct01,n.d.
09Oct01,3.476
10Oct01,3.4726
11Oct01,3.4684
12Oct01,3.4628
15Oct01,3.4535
16Oct01,3.4471
17Oct01,3.4532
18Oct01,3.4497
19Oct01,3.4505
22Oct01,3.4501
23Oct01,3.4529
24Oct01,3.4522
25Oct01,3.4535
26Oct01,3.4521
29Oct01,3.4498
30Oct01,3.4458
31Oct01,3.4412
01Nov01,n.d.
02Nov01,n.d.
05Nov01,3.439
06Nov01,3.4444
07Nov01,3.4485
08Nov01,3.4473
09Nov01,3.4463
12Nov01,3.4473
13Nov01,3.4425
14Nov01,3.4395
15Nov01,3.4368
16Nov01,3.4381
19Nov01,3.4373
20Nov01,3.4345
21Nov01,3.4349
22Nov01,3.4384
23Nov01,3.4366
26Nov01,3.4379
27Nov01,3.4377
28Nov01,3.4357
29Nov01,3.4349
30Nov01,3.4351
03Dic01,3.4332
04Dic01,3.4341
05Dic01,3.4301
06Dic01,3.4299
07Dic01,3.4296
10Dic01,3.4309
11Dic01,3.4303
12Dic01,3.4314
13Dic01,3.4312
14Dic01,3.4314
17Dic01,3.4326
18Dic01,3.436
19Dic01,3.4398
20Dic01,3.4446
21Dic01,3.4422
24Dic01,3.4415
25Dic01,n.d.
26Dic01,3.4432
27Dic01,3.4405
28Dic01,3.4415
31Dic01,3.4441
01Ene02,n.d.
02Ene02,3.4413
03Ene02,3.4411
04Ene02,3.4438
07Ene02,3.4438
08Ene02,3.4484
09Ene02,3.4594
10Ene02,3.4861
11Ene02,3.477
14Ene02,3.4715
15Ene02,3.4566
16Ene02,3.46
17Ene02,3.4573
18Ene02,3.4594
21Ene02,3.4615
22Ene02,3.4634
23Ene02,3.4614
24Ene02,3.4617
25Ene02,3.464
28Ene02,3.4663
29Ene02,3.4665
30Ene02,3.4793
31Ene02,3.4788
01Feb02,3.4773
04Feb02,3.4837
05Feb02,3.486
06Feb02,3.4871
07Feb02,3.4846
08Feb02,3.4874
11Feb02,3.4853
12Feb02,3.4752
13Feb02,3.4752
14Feb02,3.4748
15Feb02,3.4691
18Feb02,3.4694
19Feb02,3.4717
20Feb02,3.473
21Feb02,3.4759
22Feb02,3.4798
25Feb02,3.4784
26Feb02,3.4747
27Feb02,3.4733
